Saison;Liga;Spiele;Platz;Punkte;Bemerkungen;Performanceindex;Import_Tabelle;Import_Spiele;Quelle
2025/26;Landesliga 4;8;6;14;;419;2526_Abschluss;;FuPa.Net
2024/25;Bezirksliga 12;30;1;76;Aufsteiger;324;2425_Abschluss;;FuPa.Net
2023/24;Bezirksliga 12;28;3;57;;322;2324_Abschluss;;FuPa.Net
2022/23;Bezirksliga 12;32;6;53;;319;2223_Abschluss;;FuPa.Net
2021/22;Bezirksliga 12;34;11;46;;314;2122_Abschluss;2122;FuPa.Net
2020/21;Bezirksliga 12;8;5;16;Corona;320;2021_Abschluss;;FuPa.Net
2019/20;Bezirksliga 12;20;10;24;Corona;315;1920_Abschluss;;FuPa.Net
2018/19;Bezirksliga 12;32;9;43;;316;1819_Abschluss;;FuPa.Net
2017/18;Bezirksliga 12;30;9;38;;316;1718_Abschluss;;FuPa.Net
2016/17;Landesliga 4;30;15;33;Absteiger;410;1617_Abschluss;;FuPa.Net
2015/16;Landesliga 4;28;5;50;;420;1516_Abschluss;;FuPa.Net
2014/15;Landesliga 4;30;9;44;;416;1415_Abschluss;;FuPa.Net
2013/14;Landesliga 4;30;10;42;;415;1314_Abschluss;;FuPa.Net
2012/13;Bezirksliga 12;34;1;82;Aufsteiger;324;1213_Abschluss;;FuPa.Net
2011/12;Landesliga 4;30;15;20;Absteiger;410;1112_Abschluss;;FuPa.Net
2010/11;Westfalenliga 1;32;17;13;Absteiger;508;1011_Abschluss;;FuPa.Net
2009/10;Westfalenliga 1;34;9;50;;516;0910_Abschluss;;FuPa.Net
2008/09;Westfalenliga 1;34;9;45;;516;0809_Abschluss;;FuPa.Net
2007/08;Westfalenliga 1;28;7;39;;518;0708_Abschluss;;FuPa.Net
2006/07;Oberliga Westfalen;34;17;31;Absteiger;608;0607_Abschluss;;FuPa.Net
2005/06;Oberliga Westfalen;34;9;43;;616;0506_Abschluss;;FuPa.Net
2004/05;Oberliga Westfalen;34;9;43;;616;0405_Abschluss;;FuPa.Net
2003/04;Oberliga Westfalen;34;14;43;;611;0304_Abschluss;;FuPa.Net
2002/03;Oberliga Westfalen;34;12;39;;613;0203_Abschluss;;FuPa.Net
2001/02;Westfalenliga 1;28;2;58;Aufsteiger;523;0102_Abschluss;;FuPa.Net
2000/01;Westfalenliga 1;28;4;48;;521;0001_Abschluss;;FuPa.Net
1999/00;Landesliga 4;28;1;55;Aufsteiger;424;9900_Abschluss;;FuPa.Net
1998/99;Landesliga 4;30;3;60;;422;9899_Abschluss;;FuPa.Net
1997/98;Landesliga 4;30;7;47;;418;9798_Abschluss;;FuPa.Net
1996/97;Landesliga 4;28;12;29;;413;9697_Abschluss;;FuPa.Net
1995/96;Landesliga 4;26;3;45;;422;9596_Abschluss;;FuPa.Net
1994/95;Landesliga 4;30;4;51;;421;9495_Abschluss;;FuPa.Net
1990/91;Westfalenliga 1;30;15;19;Absteiger;510;9091_Abschluss;;FuPa.Net
1989/90;Westfalenliga 1;30;7;30;;518;8990_Abschluss;;FuPa.Net
1988/89;Westfalenliga 1;30;5;33;;520;8889_Abschluss;;FuPa.Net
1987/88;Westfalenliga 1;32;5;34;;520;8788_Abschluss;;FuPa.Net
1986/87;Westfalenliga 1;34;3;46;;522;8687_Abschluss;;FuPa.Net
1985/86;Westfalenliga 1;36;10;37;;515;8586_Abschluss;;FuPa.Net
1984/85;Westfalenliga 1;0;9;0;;516;8485_Abschluss;;FuPa.Net
1983/84;Westfalenliga 1;34;15;30;;510;8384_Abschluss;;FuPa.Net
1982/83;Westfalenliga 1;34;6;41;;519;8283_Abschluss;;FuPa.Net
1981/82;Westfalenliga 1;30;5;38;;520;8182_Abschluss;;FuPa.Net
1980/81;Westfalenliga 1;30;5;38;;520;8081_Abschluss;;FuPa.Net
1979/80;Oberliga Westfalen;34;17;27;Absteiger;608;7980_Abschluss;;FuPa.Net
1978/79;Oberliga Westfalen;34;16;28;;609;7879_Abschluss;;FuPa.Net
1977/78;Westfalenliga 1;34;6;39;Aufsteiger;519;7778_Abschluss;;FuPa.Net
1976/77;Westfalenliga 1;34;13;33;;512;7677_Abschluss;;FuPa.Net
1975/76;Westfalenliga 1;34;3;40;;522;7576_Abschluss;;FuPa.Net
1974/75;Westfalenliga 1;34;11;33;;514;7475_Abschluss;;FuPa.Net
1973/74;Westfalenliga 1;30;10;31;;515;7374_Abschluss;;FuPa.Net
1972/73;Westfalenliga 1;30;14;25;;511;7273_Abschluss;;FuPa.Net
1971/72;Westfalenliga 1;30;6;32;;519;7172_Abschluss;;FuPa.Net
1970/71;Westfalenliga 1;30;11;27;;514;7071_Abschluss;;FuPa.Net
1969/70;Landesliga 4;0;1;0;Aufsteiger;424;6970_Abschluss;;FuPa.Net
1968/69;Landesliga 4;0;11;0;;414;6869_Abschluss;;FuPa.Net
1967/68;Landesliga 4;0;10;0;;415;6768_Abschluss;;FuPa.Net
